account_length,international_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls
87,0,28,202.7,124,248.9,98,184.7,50,14.7,6,1
113,0,0,245.3,108,259.9,140,204.3,115,10.7,2,3
75,0,0,305.1,106,188.0,115,235.4,116,8.5,5,0
119,0,29,117.8,66,256.8,114,147.6,76,7.6,3,3
91,0,0,133.7,75,195.3,87,280.5,89,5.9,2,0
59,0,0,119.0,119,134.5,115,298.6,75,9.0,6,2
69,0,0,244.8,76,77.2,100,222.8,102,10.0,3,0
109,0,29,111.2,90,263.5,98,224.7,128,9.0,6,6
108,1,0,137.3,68,143.8,94,238.7,101,8.9,1,1
64,1,33,127.2,93,162.9,104,247.4,109,8.1,13,0
84,1,0,299.4,71,61.9,88,196.9,89,6.6,7,2
143,0,33,239.2,109,235.5,112,156.3,95,9.5,4,1
142,0,22,224.4,114,146.0,106,241.4,98,8.8,2,1
86,0,0,128.3,121,197.1,93,138.4,152,12.2,5,7
69,0,0,143.6,88,141.8,86,194.0,83,10.8,5,3
162,0,0,177.1,131,114.7,122,153.6,88,6.5,6,3
100,0,0,113.3,96,197.9,89,284.5,93,11.7,2,4
62,0,0,159.9,100,172.2,99,263.2,109,5.6,4,1
60,0,0,197.0,130,219.2,105,102.8,113,12.6,4,1
104,0,0,153.7,86,160.3,78,176.6,140,9.6,8,1
54,0,0,255.4,122,22.3,87,152.6,72,11.1,6,0
83,0,36,95.9,87,261.6,105,228.6,109,13.3,4,0
94,0,0,139.1,93,237.9,100,227.1,59,11.4,3,1
111,0,0,187.8,107,246.0,70,175.9,88,10.5,7,0
93,0,0,149.6,120,200.7,85,181.2,107,14.3,9,0
111,0,23,87.7,91,218.3,118,173.1,87,12.3,4,1
161,0,0,322.3,100,230.4,135,241.5,104,7.8,5,2
79,0,0,213.6,110,234.9,121,229.6,157,8.8,3,2
49,1,32,176.9,118,227.0,121,204.4,115,15.1,3,3
96,0,0,106.6,128,284.8,87,178.9,92,14.9,7,1
100,0,32,125.2,123,230.9,101,192.0,106,12.6,9,3
105,0,31,109.6,108,249.3,119,321.2,101,8.3,4,4
132,0,36,201.9,93,156.3,75,131.3,92,13.7,5,0
119,0,24,217.2,94,138.7,52,139.3,85,11.3,4,0
120,0,0,112.6,80,124.4,86,234.9,88,8.1,3,6
106,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0
86,1,0,162.4,131,167.0,102,128.9,118,11.4,2,2
144,0,18,106.4,109,108.1,113,208.4,111,10.1,5,1
123,0,0,114.8,94,150.0,104,268.6,119,9.6,4,2
127,0,29,136.1,146,302.6,105,163.1,116,18.5,2,2
75,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1
92,0,16,184.0,99,76.4,134,185.1,96,12.7,3,2
184,0,0,237.6,86,157.0,105,163.6,103,14.2,2,2
112,0,17,120.0,94,79.5,104,214.0,94,8.7,1,1
88,1,0,235.1,98,251.8,79,285.9,76,7.2,2,4
69,0,0,243.3,101,109.2,99,176.9,138,9.3,3,0
91,0,0,134.7,116,295.3,98,195.5,121,6.6,5,2
117,0,14,80.2,81,219.0,103,122.6,102,8.6,2,1
79,0,25,219.0,95,241.9,95,203.4,102,5.6,5,4
94,0,0,261.3,89,152.4,139,120.2,124,10.5,2,0
92,0,0,185.8,61,118.1,131,257.5,70,11.8,4,1
162,0,0,115.1,89,196.8,111,212.4,98,11.4,3,2
115,0,14,192.3,86,88.7,90,229.4,120,10.5,3,2
84,0,42,165.3,97,223.5,118,260.8,72,7.6,7,3
41,0,0,223.8,67,244.8,74,223.8,156,12.3,5,3
56,0,0,254.8,83,194.0,98,186.2,118,13.5,2,4
162,0,0,184.5,118,224.0,95,180.5,82,11.6,3,1
128,0,0,268.1,95,120.5,126,220.8,121,14.4,6,2
135,0,46,172.6,77,203.4,102,264.2,108,10.4,2,1
37,0,0,271.7,112,155.1,96,199.5,97,6.6,4,3
119,0,0,239.1,88,243.5,79,230.9,92,10.9,3,3
81,0,0,145.4,132,129.3,91,186.4,109,5.2,4,1
133,0,0,207.1,106,283.5,124,65.2,107,10.5,2,3
141,0,0,51.9,108,162.0,83,223.5,115,10.1,3,3
80,0,0,194.8,116,209.9,93,194.1,100,12.8,3,0
189,0,30,155.2,116,195.5,50,170.1,108,15.4,6,1
130,0,0,176.3,140,201.0,104,161.9,123,11.3,5,1
181,1,0,161.3,83,124.4,83,262.0,98,14.1,3,0
110,0,0,242.5,110,162.3,140,184.1,86,7.8,3,4
127,0,0,245.2,91,217.2,92,243.1,128,13.9,6,0
127,0,27,2.6,113,254.0,102,242.7,156,9.2,5,3
148,0,0,230.6,92,185.6,97,183.2,79,6.2,4,2
51,0,28,276.7,121,203.7,99,246.2,88,8.3,3,0
132,0,0,197.8,66,133.9,119,177.3,94,10.9,3,4
97,0,0,276.1,82,201.1,106,231.3,73,8.9,4,0
193,0,0,96.8,92,142.6,103,210.1,115,10.9,5,2
85,0,0,212.3,107,228.4,103,163.3,116,7.7,3,0
80,0,0,209.9,109,226.1,56,154.2,121,9.0,5,1
173,1,18,127.2,89,130.7,114,229.7,115,11.2,5,2
92,1,0,252.3,120,207.0,112,284.6,95,12.0,5,3
58,0,0,187.6,113,217.4,115,139.7,92,9.8,5,3
118,0,0,183.1,128,241.0,93,211.1,108,12.5,4,0
127,0,27,157.6,107,280.6,49,75.1,77,8.0,4,1
155,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0
114,0,0,155.3,75,169.9,87,207.0,133,12.6,5,2
134,0,34,247.2,105,225.5,133,186.3,76,6.1,5,2
114,0,0,204.4,91,239.6,136,235.0,64,11.5,3,2
93,1,0,168.4,114,276.0,127,196.2,48,11.4,3,1
91,0,0,189.3,100,239.3,107,89.7,89,9.9,3,3
172,0,0,211.7,100,198.7,101,301.7,136,6.5,9,1
100,0,41,306.9,71,243.3,72,125.9,114,10.5,4,2
175,1,35,159.5,95,140.7,100,176.3,99,5.4,4,5
73,0,0,286.4,109,178.2,67,214.2,152,10.7,14,1
106,0,0,147.7,105,215.0,129,267.2,95,11.0,3,1
74,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0
32,0,0,103.6,78,238.5,115,186.9,70,11.0,4,2
163,1,0,197.2,90,188.5,113,211.1,94,7.8,8,1
125,0,0,191.6,115,205.6,108,210.2,123,9.2,3,2
66,0,0,34.0,133,278.6,61,129.6,120,11.5,3,0
140,0,0,204.7,100,126.8,107,202.8,115,12.1,4,2
52,0,32,130.1,68,247.2,77,289.4,87,13.5,5,2
145,0,0,189.3,113,203.7,92,218.3,103,14.2,3,5
70,0,24,249.5,101,259.7,98,222.7,68,9.8,4,1
78,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1
41,1,31,278.1,86,268.1,103,241.5,77,11.3,4,0
104,0,0,139.7,78,202.6,119,203.6,102,11.3,5,2
132,1,0,144.3,70,231.5,125,304.3,137,7.0,2,1
155,0,0,181.4,111,167.7,92,168.5,122,11.3,3,3
87,0,0,261.0,83,144.2,95,284.4,119,16.3,1,4
201,0,0,212.7,72,225.2,90,195.1,99,7.0,6,1
39,0,36,141.7,121,232.3,113,222.1,131,12.0,5,1
112,0,0,135.1,112,226.3,85,115.2,108,11.1,6,1
121,0,41,215.5,95,241.8,92,147.0,108,9.6,3,1
93,0,0,266.0,120,130.1,84,165.8,63,13.1,6,3
141,0,33,168.4,127,185.1,106,220.0,78,11.0,4,2
103,0,0,173.5,83,244.3,65,221.6,66,9.7,2,3
130,0,0,159.9,70,236.8,127,227.9,95,9.0,1,1
63,0,0,211.8,84,230.9,137,217.1,99,10.7,9,3
112,0,0,135.7,34,243.0,99,209.3,115,12.2,8,1
149,0,0,207.3,115,198.4,82,114.1,83,8.6,4,1
94,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0
91,1,24,93.5,112,183.4,128,240.7,133,9.9,3,0
155,0,0,223.8,109,233.4,68,201.6,111,8.8,8,1
155,1,0,163.1,94,291.7,108,96.4,111,11.2,3,0
116,0,23,253.0,78,138.9,121,277.8,104,11.8,3,2
60,0,0,207.8,109,123.5,112,291.6,115,5.7,9,0
84,0,0,146.8,133,171.7,73,234.5,69,9.9,3,1
80,0,0,213.3,124,189.6,86,193.7,107,12.1,2,1
36,1,0,245.0,119,195.5,91,165.7,87,7.8,7,1
71,0,0,217.7,114,182.0,105,113.5,87,8.5,10,4
